"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 14 17:44:59 AEDT 2019","Thu Mar 14 17:44:59 AEDT 2019","75","","Test the ANZ App I should be able to reset the fields after I get the estimation results","","Test the ANZ App I should be able to reset the fields after I get the estimation results","I expect that element ""#application_type_single"" matches the text ""S""","I expect that element ""#application_type_single"" matches the text ""S""",""
"passed","Thu Mar 14 17:44:59 AEDT 2019","Thu Mar 14 17:44:59 AEDT 2019","68","","Test the ANZ App I should be able to reset the fields after I get the estimation results","","Test the ANZ App I should be able to reset the fields after I get the estimation results","I expect that element ""[aria-describedby='q2q1i1 q2q1i2']"" matches the text ""0""","I expect that element ""[aria-describedby='q2q1i1 q2q1i2']"" matches the text ""0""",""
"passed","Thu Mar 14 17:44:46 AEDT 2019","Thu Mar 14 17:44:46 AEDT 2019","120","","Test the ANZ App I should be able to get home loan estimate based on provided filters","","Test the ANZ App I should be able to get home loan estimate based on provided filters","I select the 0th option for element ""[class='borrow__question__answer borrow__question__answer--select']""","I select the 0th option for element ""[class='borrow__question__answer borrow__question__answer--select']""",""
"passed","Thu Mar 14 17:44:47 AEDT 2019","Thu Mar 14 17:44:47 AEDT 2019","287","","Test the ANZ App I should be able to get home loan estimate based on provided filters","","Test the ANZ App I should be able to get home loan estimate based on provided filters","I set ""10000"" to the inputfield ""[aria-describedby='q2q2i1 q2q2i2']""","I set ""10000"" to the inputfield ""[aria-describedby='q2q2i1 q2q2i2']""",""
"passed","Thu Mar 14 17:44:53 AEDT 2019","Thu Mar 14 17:44:58 AEDT 2019","4126","","Test the ANZ App I should be able to reset the fields after I get the estimation results","","Test the ANZ App I should be able to reset the fields after I get the estimation results","I open the site ""/""","I open the site ""/""",""
"passed","Thu Mar 14 17:44:59 AEDT 2019","Thu Mar 14 17:44:59 AEDT 2019","119","","Test the ANZ App I should be able to reset the fields after I get the estimation results","","Test the ANZ App I should be able to reset the fields after I get the estimation results","I click on the button ""[class='btn btn--action btn--borrow__calculate']""","I click on the button ""[class='btn btn--action btn--borrow__calculate']""",""
"passed","Thu Mar 14 17:44:48 AEDT 2019","Thu Mar 14 17:44:48 AEDT 2019","154","","Test the ANZ App I should be able to get home loan estimate based on provided filters","","Test the ANZ App I should be able to get home loan estimate based on provided filters","I set ""0"" to the inputfield ""[aria-describedby='q3q4i1 q3q4i2']""","I set ""0"" to the inputfield ""[aria-describedby='q3q4i1 q3q4i2']""",""
"passed","Thu Mar 14 17:44:58 AEDT 2019","Thu Mar 14 17:44:58 AEDT 2019","234","","Test the ANZ App I should be able to reset the fields after I get the estimation results","","Test the ANZ App I should be able to reset the fields after I get the estimation results","I set ""500"" to the inputfield ""#expenses""","I set ""500"" to the inputfield ""#expenses""",""
"passed","Thu Mar 14 17:45:00 AEDT 2019","Thu Mar 14 17:45:02 AEDT 2019","2551","","Test the ANZ App Get the correct estimate/message when entering $1 living expense leaving other fields as 0","","Test the ANZ App Get the correct estimate/message when entering $1 living expense leaving other fields as 0","I open the site ""/""","I open the site ""/""",""
"passed","Thu Mar 14 17:45:02 AEDT 2019","Thu Mar 14 17:45:03 AEDT 2019","85","","Test the ANZ App Get the correct estimate/message when entering $1 living expense leaving other fields as 0","","Test the ANZ App Get the correct estimate/message when entering $1 living expense leaving other fields as 0","I expect that element ""[class='borrow__error__text']"" matches the text ""Based on the details you've entered, we're unable to give you an estimate of your borrowing power with this calculator. For questions, call us on 1800 100 641.""","I expect that element ""[class='borrow__error__text']"" matches the text ""Based on the details you've entered, we're unable to give you an estimate of your borrowing power with this calculator. For questions, call us on 1800 100 641.""",""
